Chicago Citation,Abstract,First Author Institution,Other Author Institutions
"McKenzie, Brian D.. ""Barack Obama, Jeremiah Wright, and Public Opinion in the 2008 Presidential Primaries"". Political Psychology 32, no. 6 (2011)","This study examines the broad political impact of controversial sermons by Jeremiah Wright, Barack Obama's former pastor, which aired during the 2008 presidential primaries. Although commentators speculated about the possible repercussions of this event for Obama's candidacy, no one has actually tested these claims in practice and positioned the episode within a larger narrative of American racial politics. Using national survey data, I discuss differences between Blacks' and Whites' perceptions of the videos and their effects on citizens' attitudes. Among Whites, individuals who are bothered by Wright's assertions feel negatively toward Obama and express apprehension about his ability to unite people around common goals. Blacks' familiarity with African American religion provides a context for understanding the messages and they are not distracted by the controversy. More generally, the findings emphasize that cultural differences among groups help explain variation in opinions, shows how unflattering news reports influence evaluations of Black candidates, and highlights the significance of racial issues in political campaigns.",University of Maryland,[]
"Schaffner, Brian F.. ""Racial Salience and the Obama Vote"". Political Psychology 32, no. 6 (2011)","Barack Obama's successful campaign for president renewed both scholarly and popular interest in understanding the extent to which race remains a barrier for African American candidates in American elections. Despite a substantial body of work that indicates that African Americans do face significant barriers to winning White votes, initial interpretations of the 2008 election results suggest that the Obama vote was not depressed because of his race. In this paper, I introduce a relatively unobtrusive measure of racial salience to examine whether these initial interpretations are correct. I find that when race was a more salient factor for White voters, they were substantially less likely to vote for Obama and were more likely to think that Obama was focusing attention on African Americans during the campaign. I estimate that the salience of race for some Whites may have cost Obama as much as 3% of the White vote. Thus, this paper indicates that even in Obama's historic 2008 campaign, African American candidates continue to face barriers to winning White support.","University of Massachusetts, Amherst",[]
"Dragojlovic, Nicolas Isak. ""Priming and the Obama Effect on Public Evaluations of the United States"". Political Psychology 32, no. 6 (2011)",This article investigates the psychological basis for the dramatic improvement in the Canadian public's evaluations of the United States following President Obama's inauguration. It attributes this change to a media priming effect triggered by Obama's increased visibility in Canadian news coverage of the United States in 2008 and 2009. A survey experiment conducted on a sample of undergraduate students at a Canadian university is used to illustrate this priming effect. Mentioning President Obama in an unrelated question leads participants to evaluate the United States more positively than in a control group. This assimilation effect is particularly strong when compared to a condition in which former President Bush is mentioned instead of President Obama. The results also show that the Obama priming effect is moderated by political awareness such that individuals with intermediate levels of awareness are most sensitive to the Obama prime.,University of British Columbia,[]
"Suedfeld, Peter, Ryan W. Cross, Jelena Brcic. ""Two Years of Ups and Downs: Barack Obama's Patterns of Integrative Complexity, Motive Imagery, and Values"". Political Psychology 32, no. 6 (2011)","President Obama's weekly radio addresses to the nation during his first two years in office were scored using thematic content analysis (TCA). TCA is a method for deriving quantitative data from qualitative materials through the use of detailed scoring manuals applied to oral or written texts by trained, reliable scorers. We scored the addresses for integrative complexity (IC), motive imagery (MI), and universal values. Obama's mean IC was second highest among recent presidents. His IC fluctuated in response to situational parameters, rising when he was negotiating and maneuvering his policies through Congress, falling when stress was high and a problem seemed amenable to a simple solution. His MI showed Achievement as his predominant motive. Achievement, Security, and Power were highest in his value hierarchy, which remained stable throughout the period; surprisingly, his ranking of Self-Direction was much lower than a previously published pan-cultural average. Last, we identified six clusters, time periods when his IC and Power imagery moved in opposite directions. The implications of this pattern for cooperative versus adversarial approaches in problem solving are discussed.",The University of British Columbia,[]
"Renshon, Stanley A.. ""Redemption, Fairness, and the Politics of Transformation in the Obama Presidency"". Political Psychology 32, no. 6 (2011)","Every new president raises many questions in the public mind. Because Barack Obama was a relative newcomer to the national political scene, he raised more questions than most and still does two years into his presidency. Who is Barack Obama, really? I trace the intertwined developmental arcs of the president's late-blooming ambition and his ambivalent relationships with both of his parents and his own core identity. Obama's efforts to reconcile the conflicting experiences and feelings he had as he navigated these psychological currents have a great deal to do with how he has approached his presidency. Obama is a president of enormous intelligence and considerable political skill, but his presidency has faltered in part because of the mismatch between his redemptive and transformational ambitions and the public's willingness and readiness to support them.",The City University of New York,[]
"Winter, David G.. ""Philosopher-King or Polarizing Politician? A Personality Profile of Barack Obama"". Political Psychology 32, no. 6 (2011)","Although U.S. President Barack Obama received extensive media coverage during the 2008 U.S. presidential campaign and later during the first two years of his presidency, many people still perceive him as elusive, or even contradictory. Using biographical facts and objective at-a-distance measures, this article presents a personality profile of Obama. The profile is organized around a fourfold conception of personality. Personality can be understood as the residue of past and present social contexts and is publicly visible as traits or consistencies of style. Internal beliefs, values, and other cognitions, as well as implicit motives, can only be indirectly observed and so are measured through content analysis. The resulting profile is used to explain some outcomes, as well as paradoxes and puzzles of Obama's performance as president. It also suggests predictions about the future course of his presidency.",University of Michigan,[]
"Elcheroth, Guy, Willem Doise, Stephen Reicher. ""On the Knowledge of Politics and the Politics of Knowledge: How a Social Representations Approach Helps Us Rethink the Subject of Political Psychology"". Political Psychology 32, no. 5 (2011)","Fifty years ago, Serge Moscovici first outlined a theory of social representations. In this article, we attempt to discuss and to contextualize research that has been inspired by this original impetus from the particular angle of its relevance to political psychology. We argue that four defining components of social representations need to be taken into account, and that these elements need to be articulated with insights from the social identity tradition about the centrality of self and group constructions in order to develop original insights into political psychological phenomena. First, social representations are shared knowledge, and the way interpretations of the world are collectively elaborated is critical to the way people are able to act within the world. Second, social representations are meta-knowledge, which implies that what people assume relevant others know, think, or value is part of their own interpretative grid, and that collective behavior can often be influenced more powerfully at the level of meta-representations than of intimate beliefs. Third, social representations are enacted communication, which means that social influence is exerted by the factors that constrain social practices as much as by the discourse that interprets these practices.Fourth, social representations are world-making assumptions: collective understandings do not only reflect existing realities but often bring social reality into being. Put together, these four components provide a distinctive theoretical perspective on power, resistance and conflict. The added conceptual value of this perspective is illustrated by showing how it allows revisiting ethnic conflict in the former Yugoslavia. We conclude with implications for research practices and discuss how the proposed model of social representations invites us to define new priorities and challenges for the methods used to study political psychological phenomena.",University of Lausanne,"['University of Geneva', 'University of St Andrews']"
"Staerkle, Christian, Alain Clemence, Dario Spini. ""Social Representations: A Normative and Dynamic Intergroup Approach"". Political Psychology 32, no. 5 (2011)","This commentary outlines an approach to social representations which emphasizes the normative and dynamic nature of shared knowledge. Social representations both connect and divide people, for example through shared ingroup and outgroup stereotypes derived from antagonistic social representations. Through asymmetrical intergroup communication and influence, in turn, social representations are formed, maintained, and contested. In this dynamic process, powerful majorities attempt to define the meaning of new or otherwise important information as a function of their group norms, while subordinate minorities employ propaganda techniques of social influence to resist majority influence and propose alternative positions.",University of Lausanne,[]
"Spears, Russell, Olivier Klein. ""On Epistemological Shifts and Good Old French Wine (in New Bottles): Commentary on Elcheroth, Doise, and Reicher"". Political Psychology 32, no. 5 (2011)","In this article, we first suggest that the approach presented by Elcheroth, Doise, and Reicher is particularly relevant in view of the ""neuroscientific turn ""that faces political psychology. Thus, we note that the distinction between content and process and the predilection for general, intrapsychological, and content-free explanations of political cognition and behavior are encouraged by these developments. We contrast the contribution of the social representations approach to the understanding of social conflict and social change with the approach promoted by these new perspectives. Next, we consider the four themes highlighted by Elcheroth et al. as distinctive of the social representations approach. We notice convergences between these themes and several areas of u mainstream ""social and political psychology and show that several of these themes have surfaced in these fields without making reference to this approach.",Cardiff University,['Universite Libre de Bruxelles']
"Reicher, Stephen, Willem Doise, Guy Elcheroth. ""Imagine There Is a War and No One Turns Up! A Response to the Commentaries"". Political Psychology 32, no. 5 (2011)","In this response to the commentaries, we make one concession and try to clarify two critical points raised by the commentators. The concession is about the common stock of knowledge on which social representations approaches draw in general and the model outlined in our article in particular. The two points we attempt to clarify concern the importance of both an intergroup perspective and of the structural components of power to our model of social representations.",University of St Andrews,"['University of Geneva', 'University of Lausanne']"
